Product_name,Product_name_link,Thaiwatsadu_price,Thaiwatsadu_link,DoHome_price,DoHome_link,Thaiwatsadu_SKU,Thaiwatsadu_exist,Dohome_exist,Both_exist
ประตูภายใน PVC BATHIC รุ่น BPC2 ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/396378550,1490.0,https://www.thaiwatsadu.com/th/sku/60276647,1522.5,https://www.dohome.co.th/th/bathic-pvc-door-tis-70-x-200-cm-no-2-white-unpunched-10300874.html?srsltid=AfmBOorboA6RWgNZwdJrLKFYdeTbPDNo_1LdNfWAiwF_tA47fw6zQ3dh,60276647,True,True,True
ประตูภายใน UPVC BATHIC BG2 70x200 cm. สีเทา,http://spy.price2spy.com/product/507291957,1690.0,https://www.thaiwatsadu.com/th/sku/60405241,1990.0,https://www.dohome.co.th/th/bathic-upvc-bathroom-door-70x200cm-no-bg2-grey-drilled-10406349.html,60405241,True,True,True
ประตูภายใน UPVC BATHIC รุ่น BG1 70x180 cm สีเทา,http://spy.price2spy.com/product/519816445,1390.0,https://www.thaiwatsadu.com/sku/60405235,1690.0,https://www.dohome.co.th/th/bathic-upvc-bathroom-door-70x180cm-no-bg1-grey-drilled-10406343.html,60405235,True,True,True
ประตูภายใน UPVC BATHIC รุ่น BG1 70x180 cm สีเทา (เจาะลูกบิด),http://spy.price2spy.com/product/536666645,1390.0,https://www.thaiwatsadu.com/th/sku/60405236,1690.0,https://www.dohome.co.th/th/bathic-upvc-bathroom-door-70x180cm-no-bg1-grey-drilled-10406343.html,60405236,True,True,True
ประตูภายใน UPVC BATHIC รุ่น BG2 70x180 cm สีเทา (เจาะลูกบิด),http://spy.price2spy.com/product/536666437,1590.0,https://www.thaiwatsadu.com/th/sku/60405240,1890.0,https://www.dohome.co.th/th/bathic-upvc-bathroom-door-70x180cm-no-bg2-grey-drilled-10406347.html?srsltid=AfmBOoqwdDQB8MRYSKLcuc3T4XRX9oSlYkK_PRKrqtDvcsCPhIIi0VrK,60405240,True,True,True
ประตูภายใน UPVC BATHIC รุ่น BG2 70x200 cm สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/536666497,1490.0,https://www.thaiwatsadu.com/sku/60405347,1490.0,https://www.dohome.co.th/th/bathic-upvc-bathroom-door-70x200cm-no-bg2-white-drilled-10406348.html?srsltid=AfmBOorrV-Pg93RWSTGyRbBFiUsXwEpIo8bphZtdc-M10g35fyN67d2E,60405347,True,True,True
ประตูภายใน uPVC ECO DOOR รุ่น PG2 ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/416382186,1590.0,https://www.thaiwatsadu.com/th/sku/60368107,1590.0,https://www.dohome.co.th/th/upvc-door-70-200-cm-no-profile-pg2-white-10378814.html,60368107,True,True,True
ประตูภายใน uPVC ECO DOOR รุ่น PX1 ขนาด 80 x 200 ซม. สีโอ๊กทูโทน (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/453090553,1990.0,https://www.thaiwatsadu.com/th/sku/60387827,1990.0,https://www.dohome.co.th/th/eco-door-interior-upvc-door-80x200cm-px1-oak-cream-drilling-10399885.html,60387827,True,True,True
ประตูภายใน uPVC ECO DOOR รุ่น PX2 ขนาด 80 x 200 ซม. สีครีมทูโทนเทา (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/453090557,1890.0,https://www.thaiwatsadu.com/th/sku/60387828,1890.0,https://www.dohome.co.th/th/eco-door-interior-upvc-door-80x200cm-px2-gray-cream-drilling-10399886.html,60387828,True,True,True
ประตูภายใน uPVC ECO DOOR รุ่น X1 ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/453748113,1390.0,https://www.thaiwatsadu.com/th/sku/60387826,1390.0,https://www.dohome.co.th/th/eco-door-upvc-bathroom-door-70x200cm-no-x1-white-10399946.html,60387826,True,True,True
