megahome_name,megahome_brand,megahome_price,megahome_url,thaiwatsadu_name,thaiwatsadu_brand,thaiwatsadu_price,thaiwatsadu_url,text_similarity,issue
น้ำมันสน TOA SHARKS 1 ปี๊ป,TOA,840,https://www.megahome.co.th/p/15076,น้ำมันสน SHARK รุ่นปิ๊ป ขนาด 11 กก. สีใส (#0TUR),SHARK,790,https://www.thaiwatsadu.com/th/sku/60001730,56.8,Low text similarity - different naming conventions
สีน้ำมัน BEGERSHIELD GRIPTECH 2IN1 BR800 สีดำ เงา 1 แกลลอน,BEGER,830,https://www.megahome.co.th/p/1177358,สีเคลือบกันสนิม 2 in 1 เงา เบเยอร์ชิลด์ กริปเทค รุ่น BR800 ขนาด 1 แกลลอน สีดำ,Beger,810,https://www.thaiwatsadu.com/th/sku/60351475,56.8,Low text similarity - different naming conventions
วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีขาว,ECO-DOOR,990,https://www.megahome.co.th/p/1110609,วงกบประตู WPC ECO DOOR รุ่น WVSM-100 ขนาด 80 x 200 ซม. สีขาว,ECO DOOR,950,https://www.thaiwatsadu.com/th/sku/60262061,57.1,Low text similarity - different naming conventions
สีน้ำทาภายนอก DULUX WEATHERSHIELD POWERFLEXX BASE A สีขาว เนียน 9 ลิตร,DULUX,2620,https://www.megahome.co.th/p/1030422,สีน้ำทาภายนอก กึ่งเงา DULUX รุ่น เวเธอร์ชีลด์ พาวเวอร์เฟล็ก ขนาด 9 ลิตร สีเบส A #PFSG,DULUX,2500,https://www.thaiwatsadu.com/th/sku/60267827,57.1,Low text similarity - different naming conventions
ประตูบานเลื่อน อะลูมิเนียม S-S มุ้ง WINDOW ASIA F10 200X205 ซม. สีดำ,WINDOW ASIA,7990,https://www.megahome.co.th/p/1164089,ประตูอะลูมิเนียมบานเลื่อน FRAMEX รุ่น 2 บาน+มุ้ง SS ขนาด 200 x 205 ซม. สีดำ,FRAMEX,7990,https://www.thaiwatsadu.com/th/sku/60277559,57.3,Low text similarity - different naming conventions
ประตูบานเลื่อน อะลูมิเนียม S-S มุ้ง WINDOW ASIA F10 160X205 ซม. สีขาว,WINDOW ASIA,6570,https://www.megahome.co.th/p/1128473,ประตูอะลูมิเนียมบานเลื่อน FRAMEX รุ่น 2 บาน+มุ้ง SS ขนาด 160 x 205 ซม. สีขาว,FRAMEX,6570,https://www.thaiwatsadu.com/th/sku/60277551,57.9,Low text similarity - different naming conventions
ไม้พื้น WPC แบบตัน THAISUN 3D 2X14X240 ซม. สีสัก,THAISUN,689,https://www.megahome.co.th/p/1230910,ไม้พื้น ลายร่อง-ลายไม้ WPC THAISUN ขนาด 13.5 x 240 x 2.5 ซม.. สีโอ๊ก,THAISUN,508,https://www.thaiwatsadu.com/th/sku/60415936,57.9,Low text similarity - different naming conventions
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN TOUGH SHIELD BASE A สีขาว 9 ลิตร,JOTUN,1575,https://www.megahome.co.th/p/1195079,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น TOUGH SHIELD ขนาด 2.5 แกลลอน สีเบส A,JOTUN,1580,https://www.thaiwatsadu.com/th/sku/60364353,58.5,Low text similarity - different naming conventions
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFADE BASE A 2.5 แกลลอน,JOTUN,2430,https://www.megahome.co.th/p/1103963,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส A,JOTUN,2430,https://www.thaiwatsadu.com/th/sku/60222798,59.1,Low text similarity - different naming conventions
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFADE BASE B 2.5 แกลลอน,JOTUN,2435,https://www.megahome.co.th/p/1103944,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส B,JOTUN,2290,https://www.thaiwatsadu.com/th/sku/60222800,59.1,Low text similarity - different naming conventions
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFADE BASE C 2.5 แกลลอน,JOTUN,2145,https://www.megahome.co.th/p/1104245,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส C,JOTUN,2150,https://www.thaiwatsadu.com/th/sku/60222802,59.1,Low text similarity - different naming conventions
ท่อประปา SCG CLASS 5 6 นิ้ว 4 ม. สีฟ้า,SCG,1470,https://www.megahome.co.th/p/1133720,ท่อ PVC ชั้น 5 ตรามือ รุ่น 56-5(6) ขนาด 6 นิ้ว ยาว 4 เมตร สีฟ้า,ตรามือ,996,https://www.thaiwatsadu.com/th/sku/60225480,59.3,Low text similarity - different naming conventions
สีน้ำทาฝ้า BEGER AIR FRESH PG-1000 ด้าน 9 ลิตร สีขาว,BEGER,1900,https://www.megahome.co.th/p/1157804,สีน้ำกึ่งเงา ภายใน 9 ลิตร BEGER รุ่น AIRFRESH GOLD ION สีเบส A,BEGER,1830,https://www.thaiwatsadu.com/th/sku/60324898,59.6,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ JBP 2000 5 แกลลอน,JBP,2950,https://www.megahome.co.th/p/1237113,สีรองพื้นปูนอเนกประสงค์ สูตรน้ำมัน JBP รุ่น Multipurpose Primer ขนาด 5 แกลลอน สีขาว #2000,JBP,2950,https://www.thaiwatsadu.com/th/sku/60396044,59.8,Low text similarity - different naming conventions
หน้าต่างบานเลื่อน อะลูมิเนียม F-S-S-F มุ้ง WINDOW ASIA F10 240X110 ซม. สีขาว,WINDOW ASIA,5670,https://www.megahome.co.th/p/1164157,หน้าต่างอะลูมิเนียมบานเลื่อน FRAMEX รุ่น 4 บาน+มุ้ง FSSF ขนาด 240 x 110 ซม. สีขาว,FRAMEX,5670,https://www.thaiwatsadu.com/th/sku/60321035,59.9,Low text similarity - different naming conventions
